Time,v1,v2,Tank1,Tank2,Tank3,Tank4
7.442930366295787280e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.375881735293331687e-01,2.443552554378785324e-01,3.427204853114152461e-01,1.590777996418570317e-01
7.443930491311414698e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.377784144590424864e-01,2.438177894974801196e-01,3.440129184365064985e-01,1.576772404298798780e-01
7.444930616327041207e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.379743470104405623e-01,2.432682428932815555e-01,3.452956266375550309e-01,1.562960768170380543e-01
7.445930741342668625e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.381757663575566841e-01,2.427069691183533495e-01,3.465687009651276518e-01,1.549341239394785019e-01
7.446930866358295134e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.383824733150949837e-01,2.421343173467628840e-01,3.478322312856482745e-01,1.535911970893386325e-01
7.447930991373922552e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.385942741935635991e-01,2.415506324608749367e-01,3.490863063035342662e-01,1.522671117387357775e-01
7.448931116389549061e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.388109806575835159e-01,2.409562550774875800e-01,3.503310135827296667e-01,1.509616835639084331e-01
7.449931241405176479e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.390324095873178289e-01,2.403515215728968257e-01,3.515664395677620679e-01,1.496747284693634716e-01
7.450931366420802988e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.392583829431277564e-01,2.397367641067499611e-01,3.527926696041979726e-01,1.484060626122176152e-01
7.451931491436430406e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.394887276332895387e-01,2.391123106449367930e-01,3.540097879586186491e-01,1.471555024265642775e-01
7.452931616452056915e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.397232753847414966e-01,2.384784849815805852e-01,3.552178778380826185e-01,1.459228646479085456e-01
7.453931741467684333e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.399618626168499524e-01,2.378356067601274104e-01,3.564170214091481048e-01,1.447079663375985814e-01
7.454931866483310841e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.402043303181374212e-01,2.371839914936339500e-01,3.576072998163941641e-01,1.435106249073197504e-01
7.455931991498938260e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.404505239259411509e-01,2.365239505842748058e-01,3.587887932005175973e-01,1.423306581435685725e-01
7.456932116514564768e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.407002932089493341e-01,2.358557913421473196e-01,3.599615807159797232e-01,1.411678842321337779e-01
7.457932241530192186e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.409534921525751605e-01,2.351798170034098134e-01,3.611257405482463656e-01,1.400221217825380338e-01
7.458932366545818695e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.412099788471130601e-01,2.344963267478293867e-01,3.622813499305923557e-01,1.388931898524645714e-01
7.459932491561446113e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.414696153786417776e-01,2.338056157157558934e-01,3.634284851605439348e-01,1.377809079720951346e-01
7.460932616577072622e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.417322677226125760e-01,2.331079750246070337e-01,3.645672216159054346e-01,1.366850961684035193e-01
7.461932741592700040e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.419978056400839628e-01,2.324036917848854300e-01,3.656976337704339608e-01,1.356055749893429196e-01
7.462932866608326549e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.422661025765449561e-01,2.316930491157963845e-01,3.668197952091326597e-01,1.345421655279451234e-01
7.463932991623953967e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.425370355632877006e-01,2.309763261604852180e-01,3.679337786432183566e-01,1.334946894462753497e-01
7.464933116639580476e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.428104851212647630e-01,2.302537981009771806e-01,3.690396559247122177e-01,1.324629689992842529e-01
7.465933241655206984e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.430863351673984651e-01,2.295257361728164913e-01,3.701374980607374798e-01,1.314468270584712162e-01
7.466933366670834403e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.433644729232759207e-01,2.287924076794901063e-01,3.712273752274633520e-01,1.304460871354081175e-01
7.467933491686460911e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.436447888261918882e-01,2.280540760066457895e-01,3.723093567837555962e-01,1.294605734050613133e-01
7.468933616702088329e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.439271764424832900e-01,2.273110006361609703e-01,3.733835112845163562e-01,1.284901107289206368e-01
7.469933741717714838e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.442115323831063278e-01,2.265634371600979691e-01,3.744499064937226729e-01,1.275345246779155950e-01
7.470933866733342256e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.444977562214148636e-01,2.258116372945640216e-01,3.755086093972045402e-01,1.265936415550786565e-01
7.471933991748968765e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.447857504130738160e-01,2.250558488935577861e-01,3.765596862151008306e-01,1.256672884179999283e-01
7.472934116764596183e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.450754202180804531e-01,2.242963159627795466e-01,3.776032024140852927e-01,1.247552931009827809e-01
7.473934241780222692e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.453666736248287461e-01,2.235332786734855748e-01,3.786392227193023374e-01,1.238574842369471185e-01
7.474934366795850110e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.456594212761798679e-01,2.227669733763893434e-01,3.796678111260627375e-01,1.229736912790262704e-01
7.475934491811476619e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.459535763974852407e-01,2.219976326156602175e-01,3.806890309112788140e-01,1.221037445218684514e-01
7.476934616827104037e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.462490547265220264e-01,2.212254851430338620e-01,3.817029446446684182e-01,1.212474751226086528e-01
7.477934741842730546e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.465457744452856037e-01,2.204507559320867116e-01,3.827096141997018974e-01,1.204047151215248690e-01
7.478934866858357964e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.468436561136119700e-01,2.196736661926596001e-01,3.837091007643554930e-01,1.195752974623166959e-01
7.479934991873984472e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.471426226045609020e-01,2.188944333855169788e-01,3.847014648515983959e-01,1.187590560120606181e-01
7.480935116889611891e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.474425990415413057e-01,2.181132712372066962e-01,3.856867663096988363e-01,1.179558255807613837e-01
7.481935241905238399e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.477435127371159729e-01,2.173303897551940034e-01,3.866650643322908087e-01,1.171654419405424030e-01
7.482935366920865818e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.480452931334534650e-01,2.165459952432619295e-01,3.876364174683114561e-01,1.163877418443237666e-01
7.483935491936492326e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.483478717443757477e-01,2.157602903172269881e-01,3.886008836317453308e-01,1.156225630440576996e-01
7.484935616952119744e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.486511820990233379e-01,2.149734739208782053e-01,3.895585201107973905e-01,1.148697443092475540e-01
7.485935741967746253e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.489551596869719274e-01,2.141857413423924050e-01,3.905093835773416622e-01,1.141291254441587633e-01
7.486935866983373671e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.492597419048693475e-01,2.133972842310298268e-01,3.914535300960392261e-01,1.134005473048919077e-01
7.487935991999000180e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.495648680045082723e-01,2.126082906142335027e-01,3.923910151332394847e-01,1.126838518160350050e-01
7.488936117014627598e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.498704790423185107e-01,2.118189449150899295e-01,3.933218935657392112e-01,1.119788819868317992e-01
